institucion,puesto,requisitos,departamento,plazas,salario,fecha_limite,url,fecha_extraccion
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 002007: MÉDICO ESPECIALISTA EN CIRUGÍA DE CABEZA, CUELLO Y MAXILOFACIAL","Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en cirugía de cabeza, cuello y maxilofacial",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-cirugia-cabeza-cuello-maxilofacial-hospital-docente-cajamarca-599658.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002006: MÉDICO ESPECIALISTA EN CIRUGÍA PEDIÁTRICA,Titulado Universitario en Medicina Humana. Titulo de especialidad en cirugía pediátrica,Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-cirugia-pediatrica-hospital-docente-cajamarca-599657.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002005: MÉDICO ESPECIALISTA EN MEDICINA INTERNA,Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en medicina interna,Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-medicina-interna-hospital-docente-cajamarca-599656.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD 002003, CÓD 002004: MÉDICO ESPECIALISTA EN UROLOGÍA","Título en la carrera universitaria de Medicina Humana, Titulo de especialidad en urología",Cajamarca,2,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-urologia-hospital-docente-cajamarca-599655.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002000: MÉDICO ESPECIALISTA EN CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,"Título en la carrera universitaria de Medicina Humana, Titulo de especialidad en cirugía de tórax y cardiovascular",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-cirugia-torax-cardiovascular-hospital-docente-cajamarca-599654.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001999: MÉDICO ESPECIALISTA EN RADIOLOGÍA,"Título en la carrera universitaria de Medicina Humana, Titulo de especialidad en radiología",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-radiologia-hospital-docente-cajamarca-599653.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 001997, CÓD 001998: MÉDICO ESPECIALISTA EN ANESTESIOLOGÍA",Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en anestesiología.,Cajamarca,2,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-anestesiologia-hospital-docente-cajamarca-599652.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001996: MÉDICO ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGÍA,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en Ortopedia y Traumatología",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-ortopedia-traumatologia-hospital-docente-cajamarca-599651.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001990: MÉDICO ESPECIALISTA EN INFECTOLOGÍA,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en infectología y/o medicina de enfermedades infecciosas y tropicales",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-infectologia-hospital-docente-cajamarca-599650.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001989: MÉDICO ESPECIALISTA EN NEUMOLOGÍA,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en neumología",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-neumologia-hospital-docente-cajamarca-599649.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001988: MÉDICO ESPECIALISTA EN NEFROLOGÍA,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en nefrología",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-nefrologia-hospital-docente-cajamarca-599648.html,2026-05-12T23:14:26
